Name,id,Yield_2h,Yield_12h,Class
4CzIPN,3a,56,87,good
4tBuCzIPN,3b,49,84,good
4MeCzIPN,3c,45,86,good
4BrCzIPN,3d,83,88,very_good
4OMeCzIPN,3e,0,78,bad
4PhCzIPN,3f,56,87,good
4DPAIPN,3g,91,91,very_good
4tBuDPAIPN,3h,84,84,very_good
4MeDPAIPN,3i,73,88,good
4FDPAIPN,3j,90,90,very_good
4ClDPAIPN,3k,91,91,very_good
4BrDPAIPN,3l,88,88,very_good
3CzClIPN,4a,58,88,good
3tBuCzClIPN,4b,83,87,very_good
3OMeCzClIPN,4c,0,84,good
4CzPN,5a,18,89,good
4DPAPN,5b,91,91,very_good
4CzTPN,6a,15,83,good
4DPATPN,6b,90,91,very_good
1CzTRZ,7a,0,75,bad
1tBuCzTRZ,7b,64,83,good
1DPATRZ,7c,80,81,very_good
1tBuDPATRZ,7d,62,88,good
1ClDPATRZ,7e,58,90,good
1BrDPATRZ,7f,63,83,good
1OMeDPATRZ,7g,1,75,bad
1PhDPATRZ,7h,71,85,good
1PTZTRZ,7i,13,88,good
2CzBP,8a,0,22,bad
2DPABP,8b,41,80,good
2tBuDPABP,8c,49,82,good
2MeDPABP,8d,42,82,good
2ClDPABP,8e,11,82,good
2BrDPABP,8f,30,74,bad
2PhDPABP,8g,53,83,good
2CzPN,9a,0,76,bad
2tBuCzPN,9b,53,86,good
2ClCzPN,9c,0,79,bad
1tBuDPAN,10a,0,47,bad
PNZN,10b,1,65,bad
PTZN,10c,1,74,bad
PhPTZN,10d,26,78,bad
CF3PTZN,10e,10,76,bad
2DPAN,11a,11,70,bad
2tBuDPAN,11b,15,62,bad
2MeDPAN,11c,0,46,bad
2DPAA,12a,0,50,bad
2tBuDPAA,12b,0,45,bad
2MeDPAA,12c,0,73,bad
2OMeDPAA,12d,0,2,bad
3CzNB,13a,0,24,bad
3DPANB,13b,3,61,bad
3MeDPANB,13c,0,23,bad
3BrDPANB,13d,0,81,good
2CzAQ,14a,0,0,bad
2DPAAQ,14b,0,0,bad
3DPA2FBN,15,77,77,bad
5CzBN,16,31,84,good
2DPABz,17,0,76,bad
DPABT,18,0,76,bad